Ameriflux QAQC information,,,,,,,,,,,,,,,,,,
"Extracted from variable ""FP_ls"" when running amf_chk_run.R/amfqaqc_main.R",,,,,,,,,,,,,,,,,,
Rosie Howard,,,,,,,,,,,,,,,,,,
12-Mar-25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Name,Description,Units,Min,Max,Max_buff,Min_buff,Range,N,Sites,q001.01,q001.min,q999.99,q999.max,IQR.01,IQR.min,IQR.99,IQR.max
29,FNO,Nitric oxide (NO) turbulent flux (no storage correction),nmolNO m-2 s-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,FNO_SSITC_TEST,"Results of the quality flagging for FNO according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)",nondimensional,0,2,2.1,-0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,FNO2,Nitrogen dioxide (NO2) turbulent flux (no storage correction),nmolNO2 m-2 s-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,FNO2_SSITC_TEST,"Results of the quality flagging for FNO2 according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)",nondimensional,0,2,2.1,-0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,FO3,Ozone (O3) turbulent flux (no storage correction),nmolO3 m-2 s-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,FO3_SSITC_TEST,"Results of the quality flagging for FO3 according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)",nondimensional,0,2,2.1,-0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,G,Soil heat flux,W m-2,-250,400,432.5,-282.5,650,678,293,-1.64E+02,-3.62E+02,2.51E+02,4.16E+02,1.40E+00,0.748,81.9796977,111.4775043
36,GPP,Gross Primary Productivity,µmolCO2 m-2 s-1,-30,100,106.5,-36.5,130,93,80,-2.22E+01,-2.25E+01,7.53E+01,7.92E+01,0.00E+00,0,15.330496,19.421
37,H,Sensible heat turbulent flux (no storage correction),W m-2,-450,900,967.5,-517.5,1350,454,381,-4.52E+02,-6.90E+02,7.59E+02,1.04E+03,1.74E+01,9.1969625,207.0755,245.3998045
38,H_SSITC_TEST,"Results of the quality flagging for H according to Foken et al 2004, based on a combination of Steady State and Integral Turbulence Characteristics tests by Foken and Wichura (1996) (i.e., 0, 1, 2)",nondimensional,0,2,2.1,-0.1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,H2O,Water (H2O) vapor in mole fraction of wet air,mmolH2O mol-1,0,100,105,-5,100,654,296,-2.61E-01,-3.04E+01,5.25E+01,7.27E+01,3.13E+00,2.25,16.9260896,19.02383
40,H2O_MIXING_RATIO,Water (H2O) vapor in mole fraction of dry air,mmolH2O mol-1,0,100,105,-5,100,381,74,9.73E-06,-4.19E+01,4.31E+01,4.45E+01,3.33E+00,3.20500106,17.7382778,19.7769
41,H2O_SIGMA,Standard deviation of water vapor mole fraction,mmolH2O mol-1,0,15,15.75,-0.75,15,25,24,0.00E+00,0.00E+00,1.17E+01,1.20E+01,8.99E-02,0.08838687,1.5151685,1.8036225
42,LE,Latent heat turbulent flux (no storage correction),W m-2,-450,900,967.5,-517.5,1350,456,373,-4.23E+02,-8.37E+02,8.00E+02,9.40E+02,9.79E+00,6.9618235,176.2139767,199.8073684
